iter	Passed	Remaining
0	742	370278
1	1249	311202
2	1765	292480
3	2395	296991
4	2986	295708
5	3484	286921
6	3959	278850
7	4414	271515
8	4852	264739
9	5301	259750
10	5743	255327
11	6196	251976
12	6696	250858
13	7155	248391
14	7642	247098
15	8118	245578
16	8603	244428
17	9100	243693
18	9592	242842
19	10070	241693
20	10530	240201
21	11033	239730
22	11514	238801
23	12007	238155
24	12472	236971
25	12913	235426
26	13384	234484
27	13848	233441
28	14298	232230
29	14742	230961
30	15191	229827
31	15628	228573
32	16080	227570
33	16531	226573
34	16979	225584
35	17433	224704
36	17886	223828
37	18331	222869
38	18766	221831
39	19216	220987
40	19647	219956
41	20095	219135
42	20534	218237
43	20957	217197
44	21390	216277
45	21819	215344
46	22244	214397
47	22703	213792
48	23139	212975
49	23568	212117
50	24003	211323
51	24431	210490
52	24855	209627
53	25287	208854
54	25832	209009
55	26288	208433
56	26718	207650
57	27190	207209
58	27696	207023
59	28193	206749
60	28798	207254
61	29384	207585
62	29862	207143
63	30287	206333
64	30772	205942
65	31231	205373
66	31762	205268
67	32365	205613
68	32803	204905
69	33296	204537
70	33790	204168
71	34233	203499
72	34680	202856
73	35131	202243
74	35577	201607
75	36069	201230
76	36535	200710
77	37045	200427
78	37527	199987
79	37981	199401
80	38457	198935
81	38943	198516
82	39416	198034
83	39941	197803
84	40407	197283
85	40845	196628
86	41307	196090
87	41799	195696
88	42241	195069
89	42650	194297
90	43112	193769
91	43602	193368
92	44042	192744
93	44505	192226
94	44943	191600
95	45425	191166
96	45884	190633
97	46352	190141
98	46802	189573
99	47255	189021
100	47703	188452
101	48161	187924
102	48584	187264
103	49028	186685
104	49502	186224
105	49943	185640
106	50448	185291
107	50885	184696
108	51343	184176
109	51822	183733
110	52277	183207
111	52685	182519
112	53109	181889
113	53540	181284
114	53935	180567
115	54438	180209
116	54896	179704
117	55359	179215
118	55783	178599
119	56227	178052
120	56681	177538
121	57120	176979
122	57582	176492
123	58039	175991
124	58534	175604
125	58934	174933
126	59357	174333
127	59766	173696
128	60181	173079
129	60639	172589
130	61038	171933
131	61461	171347
132	61896	170797
133	62306	170181
134	62726	169593
135	63143	169001
136	63534	168342
137	63968	167802
138	64377	167196
139	64784	166589
140	65184	165966
141	65594	165371
142	65994	164756
143	66408	164176
144	66840	163644
145	67284	163142
146	67695	162560
147	68163	162118
148	68574	161540
149	68993	160984
150	69550	160749
151	69994	160249
152	70431	159736
153	70826	159129
154	71326	158758
155	71736	158187
156	72159	157648
157	72566	157073
158	73013	156589
159	73415	156007
160	73833	155462
161	74236	154888
162	74639	154316
163	75055	153773
164	75470	153227
165	75857	152629
166	76265	152074
167	76728	151629
168	77197	151197
169	77587	150611
170	77988	150048
171	78390	149488
172	78787	148922
173	79248	148476
174	79683	147984
175	80089	147438
176	80508	146916
177	80906	146359
178	81300	145796
179	81715	145272
180	82112	144716
181	82515	144174
182	82943	143677
183	83350	143145
184	83741	142587
185	84138	142041
186	84519	141469
187	84928	140944
188	85319	140393
189	85737	139887
190	86149	139372
191	86544	138831
192	86925	138269
193	87317	137728
194	87740	137235
195	88175	136761
196	88630	136319
197	89035	135801
198	89477	135340
199	89924	134886
200	90383	134451
201	90754	133885
202	91168	133384
203	91599	132908
204	92061	132479
205	92512	132032
206	92922	131528
207	93331	131022
208	93724	130496
209	94116	129969
210	94546	129496
211	94946	128983
212	95354	128482
213	95750	127965
214	96147	127451
215	96569	126970
216	96987	126486
217	97376	125964
218	97761	125437
219	98186	124965
220	98624	124508
221	99163	124178
222	99541	123645
223	99924	123120
224	100334	122630
225	100742	122139
226	101161	121660
227	101595	121201
228	101995	120702
229	102408	120218
230	102914	119844
231	103358	119397
232	103792	118938
233	104247	118503
234	104646	118005
235	105078	117545
236	105470	117041
237	105885	116563
238	106339	116128
239	106840	115743
240	107249	115259
241	107667	114786
242	108127	114357
243	108544	113883
244	108958	113405
245	109359	112915
246	109781	112448
247	110167	111943
248	110549	111437
249	110956	110956
250	111393	110506
251	111835	110060
252	112238	109577
253	112647	109099
254	113117	108681
255	113501	108181
256	113909	107704
257	114392	107298
258	114844	106862
259	115260	106393
260	115632	105885
261	116006	105379
262	116395	104888
263	116781	104395
264	117194	103927
